municipio,ROUGE1,ROUGE2,ROUGEL,ROUGELSUM,METEOR,BLEU,BS_P,BS_R,BS_F1
Alandroal,0.7919706688321502,0.6965741401489822,0.7679506026397401,0.7679506026397401,0.7566263470855494,58.51632645178444,0.92066472120907,0.9180626862722895,0.9185811410779539
Campomaior,0.5924012306463639,0.4704241101217303,0.5429318119339417,0.5438258093796633,0.5859253044040139,34.885038015255425,0.8181835934519768,0.8376542147662904,0.8251636748512586
Covilha,0.6701971627950166,0.5194158856486923,0.6067581914319702,0.6099901351157166,0.6184105822350843,35.69917149152496,0.8298595011234283,0.859646909236908,0.8430435883998871
Fundao,0.599185322454691,0.4248101771478165,0.4898073560134215,0.49978454673789374,0.4768582615317364,31.79697385216735,0.8145188208211932,0.809653895988799,0.8109044453553986
Guimaraes,0.6348321352087934,0.4785318558137431,0.5629030639036156,0.5629030639036156,0.5743295295437292,37.17931235770947,0.8290666931745957,0.8526536092466238,0.8397797090666634
Porto,0.7634631725100555,0.6503740818333978,0.6963043652932227,0.7028047861792067,0.6942638469412368,56.10923636063563,0.8951520184490168,0.8855168446202144,0.8894983011985493
AVERAGE,0.6753416154078451,0.5400217084523938,0.6111092318693186,0.6145431573259726,0.617735645290225,42.364343088179545,0.8512408913715469,0.8605313600218542,0.8544951433249519
